Name,Author,Author_Nationality,Genre,Topic,Century,Language,Source,Year,Pages_Read,Pages,Time_to_finish,Status,Liked,Key_Emotion,Secondary_E,,Y by Y,,Averages in Y.,
Metamorphosis,Franz Kafka,European,Novel,Self,20,Portuguese,PDF,2022,90,90,2.25,Completed,1,Profound,Relatable,,2016,2,Median,2 PER YEAR
1808,Laurentino Gomes,Brazilian,History,Brazil,21,Portuguese,Bought,2019,384,384,9.6,Completed,1,Interesting,Fun,,2017,2,Average,2.77777777777778 PER YEAR
The Problems of Philosophy,Bertrand Russel,European,Philosophy,Generic,21,Portuguese,PDF,2023,7,7,0.18,Completed,0,Boring,Boring,,2018,0,Mode,2 PER YEAR
Letters to a young poet,Reiner Maria Rilke,European,Poetry,Self,20,Portuguese,Borrow,2022,128,128,3.2,Completed,0,Interesting,Empathic,,2019,3,AVG. Rating,52.00%
The Little Prince,Antoine de Saint-Exupéry,European,Children's Literature,Self,20,Portuguese,Bought,2016,80,80,2,Completed,0,Interesting,Relatable,,2020,0,,
Diary of Anne Frank,Anne Frank,European,Biography,History,20,Portuguese,Bought,2017,352,352,8.8,Completed,1,Empathic,Profound,,2021,1,,
The Harry Potter Series,J.K Rowling,European,Fantasy,Fantasy,21,Portuguese,Borrow,2016,4100,4100,102.5,Completed,1,Fun,Relatable,,2022,5,,
Napoleão,Biblioteca de História,Brazilian,Fantasy,History,21,Portuguese,Borrow,2019,252,252,6.3,Completed,1,Inspirational,Interesting,,2023,7,,
Nós e os outros: Histórias de diferentes culturas,Gonçalves Dias,Brazilian,Fable,Society,21,Portuguese,Borrow,2022,120,120,3,Completed,0,Relatable,Empathic,,2024,5,,
Euthyphron,Plato,Greek,Philosophy,Society,-1,French,PDF,2022,46,46,1.15,Completed,1,Interesting,Profound,,,,,
Estudo da Sociedade: Cidade,Marli de Fátima Silva,Brazilian,Article,Society,21,Portuguese,PDF,2023,18,18,0.45,Completed,0,Interesting,Boring,,,,,
Hiding Edith,Kathy Racer,American/Canadian,Biography,History,20,Portuguese,PDF,2017,152,152,3.8,Completed,0,Empathic,Empathic,,,,,
1822,Laurentino Gomes,Brazilian,History,History,21,Portuguese,Bought,2019,351,351,8.78,Completed,1,Interesting,Fun,,,,,
Cleopatra - Vol. 759,Christian-Georges Schwentzel,European,Biography,History,21,Portuguese,Borrow,2022,121,121,3.03,Completed,1,Interesting,Inspirational,,,,,
The Symposium,Plato,Greek,Philosophy,Self,-1,English,PDF,2023,70,70,1.75,Completed,1,Profound,Relatable,,,,,
What is Art,Arthur Danto,American/Canadian,Philosophy,Art,21,Portuguese,Borrow,2023,230,230,5.75,Completed,0,Interesting,Relatable,,,,,
Poetique,Plato,Greek,Philosophy,Art,-1,French,PDF,2023,30,43,1.08,Completed,0,Boring,Profound,,,,,
Le tour du monde en 80 jours,Jules Verne,European,Science Fiction,Science,19,French,PDF,2023,122,465,11.63,Reading,1,Relatable,Fun,,,,,
Frankenstein,Mary Shelley,European,Science Fiction,Science,19,English,PDF,2024,68,302,7.55,Reading,1,Relatable,Fun,,,,,
Doitoievski - Crime et Chatiment,Fyodor Dostoevsky,European,Novel,Drama,19,French,PDF,2024,6,663,16.58,Reading,0,Relatable,Fun,,,,,
La machine a explorer le temps,H.G Wells,European,Science Fiction,Science,19,French,PDF,2024,49,210,5.25,Reading,0,Relatable,Fun,,,,,
Par déla le bien et le mal,Frederic Nietschze,European,Philosophy,Society,19,French,PDF,2024,21,282,7.05,Reading,1,Profound,Boring,,,,,
Gestão de transferência de Tecnologia,AA Dias,Brazilian,Article,Generic,21,Portuguese,PDF,2024,14,18,0.45,Reading,0,Boring,Boring,,,,,
The Hitchhiker's guide: Restaurant at the end of the universe,Douglas Adams,European,Science Fiction,Science,20,Portuguese,Borrow,2023,256,256,6.4,Reading,1,Relatable,Fun,,,,,
The Art of War,Sun Tzu,Other,Non-Fiction,History,-1,Portuguese,Bought,2021,288,288,7.2,Reading,0,Boring,Profound,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
